Date,EPU
2026-04-24,251.17
2026-04-25,562.18
2026-04-26,201.83
2026-04-27,337.27
2026-04-28,387.67
2026-04-29,281.95
2026-04-30,386.28
2026-05-01,501.82
2026-05-02,1048.95
2026-05-03,345.81
2026-05-04,366.58
2026-05-05,529.17
2026-05-06,270.75
2026-05-07,318.06
2026-05-08,266.15
2026-05-09,697.6
2026-05-10,521.39
2026-05-11,321.42
2026-05-12,296.0
2026-05-13,237.41
2026-05-14,217.04
2026-05-15,379.11
2026-05-16,391.84
2026-05-17,470.06
2026-05-18,323.85
2026-05-19,402.88
2026-05-20,424.08
2026-05-21,226.92
2026-05-22,306.79
2026-05-23,230.67
2026-05-24,375.49
2026-05-25,317.79
2026-05-26,187.99
2026-05-27,325.98
2026-05-28,279.84
2026-05-29,350.79
2026-05-30,215.37
2026-05-31,388.99
2026-06-01,235.53
2026-06-02,221.74
2026-06-03,458.38
2026-06-04,363.49
2026-06-05,229.74
2026-06-06,358.2
2026-06-07,338.37
2026-06-08,378.26
2026-06-09,277.0
2026-06-10,186.33
2026-06-11,257.2
2026-06-12,221.33
2026-06-13,227.33
2026-06-14,282.01
2026-06-15,378.31
2026-06-16,491.42
2026-06-17,333.6
2026-06-18,424.73
2026-06-19,558.3
2026-06-20,372.65
2026-06-21,507.35
2026-06-22,372.0
2026-06-23,399.9
2026-06-24,463.97
2026-06-25,273.74
2026-06-26,252.68
2026-06-27,287.41
2026-06-28,954.32
2026-06-29,206.62
2026-06-30,333.2
2026-07-01,208.64
2026-07-02,172.97
2026-07-03,166.01
2026-07-04,332.25
2026-07-05,301.16
2026-07-06,243.91
2026-07-07,254.48
2026-07-08,190.07
2026-07-09,282.56
2026-07-10,229.17
2026-07-11,266.23
2026-07-12,326.25
2026-07-13,224.45
2026-07-14,300.42
2026-07-15,294.46
2026-07-16,283.91
2026-07-17,371.07
2026-07-18,487.27
2026-07-19,196.77
2026-07-20,379.81
2026-07-21,362.66
2026-07-22,155.14
2026-07-23,194.17
2026-07-24,724.49
2026-07-25,289.96
2026-07-26,243.31
2026-07-27,325.48
2026-07-28,270.32
2026-07-29,234.77
2026-07-30,338.1
2026-07-31,251.75
2026-08-01,218.98
2026-08-02,358.41
2026-08-03,186.27
2026-08-04,386.2
2026-08-05,309.1
2026-08-06,263.38
2026-08-07,333.71
2026-08-08,135.04
2026-08-09,327.03
2026-08-10,287.63
2026-08-11,214.78
2026-08-12,291.09
2026-08-13,195.95
2026-08-14,217.6
2026-08-15,168.54
2026-08-16,310.52
2026-08-17,155.32
2026-08-18,205.61
2026-08-19,136.69
2026-08-20,210.1
2026-08-21,194.44
